gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
ENO1-AS1,-0.27675493252544353,0.3200050451944485,-0.1506334565573873,0.0,0.0,-0.3621460173177097,0.0,-0.0506763016171725,0.011426368055930357,False,False
CA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
SLC2A5,-0.10284205092030926,0.0,0.0,0.0,0.0,0.0,0.0,-0.06593205622925129,0.0023380491785264207,False,False
GPR157,0.6337844958271666,0.6387609345130815,-0.35389239936945205,2.1522826584184838,0.5740542437219719,0.01208956376750671,0.0,0.6333317811269266,0.03696604161400301,True,True
MIR34AHG,0.6496429116505594,0.0,-0.5533298728510234,0.0,0.0,-0.07924012210840829,0.0,0.439941572622159,0.02092775333120818,False,False
RP3-510D11.2,0.13002111561830748,0.49956867983413455,0.0,0.0,0.0,0.0,0.0,0.2737198946687883,0.016171864747380173,True,False
H6PD,-0.5126268252477423,0.0,-0.430441077536164,0.0,0.7368706187776257,0.09840556299806436,-3.100264123473429,-0.4124620554555833,0.0718548555002141,False,False
SPSB1,0.15182035908395125,0.7280599636848551,0.4334221836176044,-0.4636859461892962,1.3239320532302596,0.4943590119836923,0.0,0.35279041574662146,0.06295683728609164,True,False
SLC25A33,1.0115308413090272,-0.9510098791954702,0.14714628932918203,-0.5429458348256936,-0.5403089958061639,0.918638080203802,-2.956812988541467,0.25461055038836583,0.22894456225323562,False,True
TMEM201,-0.6022767880799962,-1.1838123632434165,0.27224969253152004,0.0,-0.8594597646588311,-0.10830357010752951,0.0,-0.8438207262404369,0.03973985302142785,True,True
PIK3CD,0.19501741621590823,1.1171157805738527,0.6087232064817735,-0.09426044807374673,-0.058739384717316184,-0.31990124270579784,0.0,0.39873016883225926,0.2711434057562081,True,False
PIK3CD-AS1,0.0,0.1624045525723089,0.0,0.0,0.0,0.267917237248695,0.0,0.06410331966062488,0.00227174835570854,False,False
PIK3CD-AS2,-0.12026373159453259,-0.2354993200448146,-1.1340441600233957,0.0,-0.9553670781041612,-0.07858346408762779,0.0,-0.16364652784315392,0.0060057371621147155,True,False
CLSTN1,0.008956833364902222,0.2578660785629077,-0.26053948957753853,1.021539034851476,0.7342468922629186,-0.24288032902950393,0.0,0.0527706647379998,0.26133215781824615,True,False
CTNNBIP1,0.9346898167068963,0.7405998920817708,-0.7678291069120797,-0.11553675183885946,0.8921112474193582,-0.763098060723487,-2.987147397927937,0.8540617131917698,0.13705756827221274,True,True
LZIC,0.40814706301435444,-0.34125605389624747,0.6428298481623229,0.022088765258899,1.1034089636878242,0.560530881756548,-3.0503941285291325,0.2074379743085898,0.15463185941066954,False,False
NMNAT1,0.3213185425363637,0.7662387645843546,-0.24988164406366684,0.0,-0.4100069332675417,-0.2741969948896016,0.0,0.45949417938195336,0.0547200843319343,True,False
RBP7,0.4043518383639354,2.25346019841034,0.0,0.0,0.0,0.0,0.0,1.1672130241551526,0.2055235688464615,True,False
UBE4B,0.4113364075006951,-0.8962105872959167,-1.1457253593187267,-0.6598374080607652,1.019177888463392,0.13367243526301067,0.0,0.037865764597454006,0.16557799545445667,False,False
KIF1B,0.6246270942096226,0.18773551339265016,0.771068499817658,0.0,-0.625303196689985,-0.17050019214257112,0.0,0.4872400846840653,0.13823856838054538,True,False
PGD,-0.20662702161357763,1.173890565153921,0.05854962286455804,1.086765739736216,0.3519200196925948,-0.36770851907208224,0.0,0.1986160481172043,0.25599729289065726,False,False
RP4-736L20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
