spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0125_depth100,125,factorial,caf1_cd83_Cycling T-cells,2,1.0,10,25885,250,0,synthetic_index
mix_0125_depth25,125,factorial,caf1_cd83_Cycling T-cells,2,0.25,10,6492,251,0,synthetic_index
mix_0126_depth100,126,factorial,caf3_cd80_T cells CD4+,0,1.0,10,27406,252,0,synthetic_index
mix_0126_depth25,126,factorial,caf3_cd80_T cells CD4+,0,0.25,10,6918,253,0,synthetic_index
mix_0127_depth100,127,factorial,caf3_cd80_T cells CD4+,1,1.0,10,36382,254,0,synthetic_index
mix_0127_depth25,127,factorial,caf3_cd80_T cells CD4+,1,0.25,10,9096,255,0,synthetic_index
mix_0128_depth100,128,factorial,caf3_cd80_T cells CD4+,2,1.0,10,43904,256,0,synthetic_index
mix_0128_depth25,128,factorial,caf3_cd80_T cells CD4+,2,0.25,10,11016,257,0,synthetic_index
mix_0129_depth100,129,factorial,caf3_cd80_Myeloid,0,1.0,10,56502,258,0,synthetic_index
mix_0129_depth25,129,factorial,caf3_cd80_Myeloid,0,0.25,10,14124,259,0,synthetic_index
